artist,disc_number,duration_ms,explicit,href,id,name,track_number,type,uri,is_local,external_urls.spotify,album,release_date,recco_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity
Arctic Monkeys,1,265798,FALSE,https://api.spotify.com/v1/tracks/1zx6GSqLYI2ynzAHnPRKBR,1zx6GSqLYI2ynzAHnPRKBR,There’d Better Be A Mirrorball,1,track,spotify:track:1zx6GSqLYI2ynzAHnPRKBR,FALSE,https://open.spotify.com/track/1zx6GSqLYI2ynzAHnPRKBR,The Car,2022-10-21,1faa537d-8395-4131-847a-4171e07cdce7,0.626,0.521,0.365,0.012,D#,0.185,-10.914,Major,0.0317,143.789,0.324,58
Arctic Monkeys,1,191173,FALSE,https://api.spotify.com/v1/tracks/1UwUhKmFxGKs59xiWO60Sx,1UwUhKmFxGKs59xiWO60Sx,I Ain’t Quite Where I Think I Am,2,track,spotify:track:1UwUhKmFxGKs59xiWO60Sx,FALSE,https://open.spotify.com/track/1UwUhKmFxGKs59xiWO60Sx,The Car,2022-10-21,b6a939c1-112c-46c4-be69-55215f2899da,0.357,0.544,0.337,6.34e-5,A#,0.085,-9.846,Major,0.0653,192.685,0.667,52
Arctic Monkeys,1,239151,FALSE,https://api.spotify.com/v1/tracks/5hljqZrl0h7RcIhUnOPuve,5hljqZrl0h7RcIhUnOPuve,Sculptures Of Anything Goes,3,track,spotify:track:5hljqZrl0h7RcIhUnOPuve,FALSE,https://open.spotify.com/track/5hljqZrl0h7RcIhUnOPuve,The Car,2022-10-21,722d6dd0-459c-4695-aa4d-fe682cc5f17d,0.704,0.591,0.309,0.0122,E,0.102,-11.087,Minor,0.0287,71.573,0.257,57
Arctic Monkeys,1,197576,FALSE,https://api.spotify.com/v1/tracks/2HReNSxrMRcJ0cYMzKAJK6,2HReNSxrMRcJ0cYMzKAJK6,Jet Skis On The Moat,4,track,spotify:track:2HReNSxrMRcJ0cYMzKAJK6,FALSE,https://open.spotify.com/track/2HReNSxrMRcJ0cYMzKAJK6,The Car,2022-10-21,be2c1713-0498-49db-a8a4-147a0d1dc0b8,0.856,0.651,0.244,0.00165,G,0.0895,-11.925,Major,0.0544,149.759,0.395,52
Arctic Monkeys,1,290584,FALSE,https://api.spotify.com/v1/tracks/42GuKw49pPxNAkIhWGwgFs,42GuKw49pPxNAkIhWGwgFs,Body Paint,5,track,spotify:track:42GuKw49pPxNAkIhWGwgFs,FALSE,https://open.spotify.com/track/42GuKw49pPxNAkIhWGwgFs,The Car,2022-10-21,55583170-95ab-4969-afce-b35f7fb8fcf1,0.568,0.556,0.315,0,G,0.0774,-11.651,Minor,0.0625,143.327,0.256,56
Arctic Monkeys,1,198554,FALSE,https://api.spotify.com/v1/tracks/0C6dSPCqwKqwos6s1CrDrh,0C6dSPCqwKqwos6s1CrDrh,The Car,6,track,spotify:track:0C6dSPCqwKqwos6s1CrDrh,FALSE,https://open.spotify.com/track/0C6dSPCqwKqwos6s1CrDrh,The Car,2022-10-21,820dd891-1f14-4d25-81cf-4916a88eb73b,0.78,0.428,0.365,0.0033,E,0.113,-11.889,Minor,0.0276,94.033,0.236,51
Arctic Monkeys,1,237984,FALSE,https://api.spotify.com/v1/tracks/4KPi4VNvPOfKqIp1sx19Xf,4KPi4VNvPOfKqIp1sx19Xf,Big Ideas,7,track,spotify:track:4KPi4VNvPOfKqIp1sx19Xf,FALSE,https://open.spotify.com/track/4KPi4VNvPOfKqIp1sx19Xf,The Car,2022-10-21,9aabb46c-53ec-4f7a-a9c5-fad12f8943ec,0.663,0.548,0.328,0.00365,A,0.0972,-9.973,Minor,0.0296,67.023,0.343,55
Arctic Monkeys,1,244932,FALSE,https://api.spotify.com/v1/tracks/5ygEUpyZy5qtZ1423zymBW,5ygEUpyZy5qtZ1423zymBW,Hello You,8,track,spotify:track:5ygEUpyZy5qtZ1423zymBW,FALSE,https://open.spotify.com/track/5ygEUpyZy5qtZ1423zymBW,The Car,2022-10-21,097d6884-a26a-43aa-8737-b6f592ee901a,0.276,0.394,0.452,0.00998,E,0.193,-9.923,Minor,0.0321,169.298,0.653,54
Arctic Monkeys,1,210012,FALSE,https://api.spotify.com/v1/tracks/5fClRRa7P9nPIpstj50veV,5fClRRa7P9nPIpstj50veV,Mr Schwartz,9,track,spotify:track:5fClRRa7P9nPIpstj50veV,FALSE,https://open.spotify.com/track/5fClRRa7P9nPIpstj50veV,The Car,2022-10-21,19c9403f-295a-4c5c-bee2-58dbe4355aea,0.802,0.569,0.335,0.018,B,0.0834,-13.637,Minor,0.0322,127.587,0.388,49
Arctic Monkeys,1,167379,FALSE,https://api.spotify.com/v1/tracks/0z5x3VmmQ7cyTeOP7VAf3T,0z5x3VmmQ7cyTeOP7VAf3T,Perfect Sense,10,track,spotify:track:0z5x3VmmQ7cyTeOP7VAf3T,FALSE,https://open.spotify.com/track/0z5x3VmmQ7cyTeOP7VAf3T,The Car,2022-10-21,da929e4d-306f-455d-8006-59ef2aeaf7ee,0.61,0.52,0.478,0.00122,E,0.105,-10.862,Major,0.0276,82.932,0.545,51
