artist,disc_number,duration_ms,explicit,href,id,name,track_number,type,uri,is_local,external_urls.spotify,album,release_date,recco_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity
Fleetwood Mac,1,344813,FALSE,https://api.spotify.com/v1/tracks/60nrtseBp6vubWFGzWN2dk,60nrtseBp6vubWFGzWN2dk,"The Green Manalishi (With the Two Prong Crown) - Live at the Record Plant, Sausalito, CA, 12/15/1974",1,track,spotify:track:60nrtseBp6vubWFGzWN2dk,FALSE,https://open.spotify.com/track/60nrtseBp6vubWFGzWN2dk,"Live From The Record Plant (December 15, 1974)",2025-01-03,46b50fcf-de3b-450d-864b-7b341566fff8,0.0706,0.565,0.655,0.247,4,0.157,-7.579,0,0.0636,110.384,0.729,39
Fleetwood Mac,1,299933,FALSE,https://api.spotify.com/v1/tracks/1jEmNVXEnwMiYKJjxEXCtB,1jEmNVXEnwMiYKJjxEXCtB,"Angel - Live at the Record Plant, Sausalito, CA, 12/15/1974",2,track,spotify:track:1jEmNVXEnwMiYKJjxEXCtB,FALSE,https://open.spotify.com/track/1jEmNVXEnwMiYKJjxEXCtB,"Live From The Record Plant (December 15, 1974)",2025-01-03,f2769dc7-fc56-4e88-bef2-a9540e3296d8,0.125,0.483,0.833,0.253,6,0.0768,-6.679,0,0.0901,164.163,0.796,37
Fleetwood Mac,1,249733,FALSE,https://api.spotify.com/v1/tracks/0OinRCK6MzBjXERQA89iCI,0OinRCK6MzBjXERQA89iCI,"Spare Me a Little of Your Love - Live at the Record Plant, Sausalito, CA, 12/15/1974",3,track,spotify:track:0OinRCK6MzBjXERQA89iCI,FALSE,https://open.spotify.com/track/0OinRCK6MzBjXERQA89iCI,"Live From The Record Plant (December 15, 1974)",2025-01-03,d29be09c-2896-40e7-9cc9-2daf1889630a,0.252,0.545,0.579,0.294,7,0.0826,-8.528,1,0.0276,105.97,0.882,36
Fleetwood Mac,1,190466,FALSE,https://api.spotify.com/v1/tracks/0emhUeEnhgSfXnZtCn3ymH,0emhUeEnhgSfXnZtCn3ymH,"Sentimental Lady - Live at the Record Plant, Sausalito, CA, 12/15/1974",4,track,spotify:track:0emhUeEnhgSfXnZtCn3ymH,FALSE,https://open.spotify.com/track/0emhUeEnhgSfXnZtCn3ymH,"Live From The Record Plant (December 15, 1974)",2025-01-03,b02ed9e8-a1f5-4fe2-b007-8b2da2db3386,0.546,0.505,0.692,0.00253,4,0.138,-7.916,1,0.0492,76.859,0.712,35
Fleetwood Mac,1,541386,FALSE,https://api.spotify.com/v1/tracks/76Ay9ABlo8nL8rFeRi9Xb4,76Ay9ABlo8nL8rFeRi9Xb4,"Future Games - Live at the Record Plant, Sausalito, CA, 12/15/1974",5,track,spotify:track:76Ay9ABlo8nL8rFeRi9Xb4,FALSE,https://open.spotify.com/track/76Ay9ABlo8nL8rFeRi9Xb4,"Live From The Record Plant (December 15, 1974)",2025-01-03,da86e8d1-c8e6-415c-ac56-b6b08d7c978e,0.373,0.391,0.696,0.131,2,0.3,-8.212,1,0.0453,77.485,0.699,35
Fleetwood Mac,1,641586,FALSE,https://api.spotify.com/v1/tracks/4v89RGChRpjwgBZDtf8vmy,4v89RGChRpjwgBZDtf8vmy,"Bermuda Triangle - Live at the Record Plant, Sausalito, CA, 12/15/1974",6,track,spotify:track:4v89RGChRpjwgBZDtf8vmy,FALSE,https://open.spotify.com/track/4v89RGChRpjwgBZDtf8vmy,"Live From The Record Plant (December 15, 1974)",2025-01-03,b5ebd2ca-47cb-4da2-8163-91db612fc819,0.443,0.62,0.622,0.0296,0,0.349,-9.751,0,0.0415,127.141,0.767,34
Fleetwood Mac,1,245506,FALSE,https://api.spotify.com/v1/tracks/0dDUOgKrcInr6eQoudBk3g,0dDUOgKrcInr6eQoudBk3g,"Why - Live at the Record Plant, Sausalito, CA, 12/15/1974",7,track,spotify:track:0dDUOgKrcInr6eQoudBk3g,FALSE,https://open.spotify.com/track/0dDUOgKrcInr6eQoudBk3g,"Live From The Record Plant (December 15, 1974)",2025-01-03,bbd9d011-7890-4841-a94c-5d9c07367f0d,0.755,0.36,0.41,0.0824,2,0.125,-10.343,1,0.0321,146.763,0.449,32
Fleetwood Mac,1,294026,FALSE,https://api.spotify.com/v1/tracks/0xggQPtKVq0exb2kGIucvH,0xggQPtKVq0exb2kGIucvH,"Believe Me - Live at the Record Plant, Sausalito, CA, 12/15/1974",8,track,spotify:track:0xggQPtKVq0exb2kGIucvH,FALSE,https://open.spotify.com/track/0xggQPtKVq0exb2kGIucvH,"Live From The Record Plant (December 15, 1974)",2025-01-03,93ca6151-3021-4c8c-844f-1581b0993b97,0.0534,0.342,0.819,0.0406,7,0.387,-7.398,1,0.0534,167.725,0.881,32
Fleetwood Mac,1,414973,FALSE,https://api.spotify.com/v1/tracks/0tVHPgT9cMcypTUPfVTkF8,0tVHPgT9cMcypTUPfVTkF8,"Black Magic Woman / Oh Well - Live at the Record Plant, Sausalito, CA, 12/15/1974",9,track,spotify:track:0tVHPgT9cMcypTUPfVTkF8,FALSE,https://open.spotify.com/track/0tVHPgT9cMcypTUPfVTkF8,"Live From The Record Plant (December 15, 1974)",2025-01-03,9461c4b4-7bda-47d8-a3ee-31068dbc74a2,0.39,0.424,0.747,0.354,2,0.27,-6.889,0,0.0568,104.608,0.819,32
Fleetwood Mac,1,689799,FALSE,https://api.spotify.com/v1/tracks/6pLgIXfptlDlIIXKpqstRN,6pLgIXfptlDlIIXKpqstRN,"Rattlesnake Shake - Live at the Record Plant, Sausalito, CA, 12/15/1974",10,track,spotify:track:6pLgIXfptlDlIIXKpqstRN,FALSE,https://open.spotify.com/track/6pLgIXfptlDlIIXKpqstRN,"Live From The Record Plant (December 15, 1974)",2025-01-03,7ace36ab-7064-4958-b855-b2e3b715a9f0,0.0794,0.451,0.73,0.181,4,0.357,-8.09,0,0.0597,109.259,0.764,31
